,crop_id,transaction percentage
5,6,11.290714492334395
1,2,10.85499400801686
3,4,10.793834455969256
18,21,6.854167527583785
19,22,6.367866440762016
4,5,5.386668870614488
14,17,5.1688086284557215
8,9,4.273730319434687
17,20,3.7803215008884665
2,3,2.9082193479069383
75,82,2.878961940576057
0,1,2.712674077441217
13,16,2.5997768502830696
26,30,2.4116699037150293
23,27,1.999421463696847
43,48,1.8852018678457787
9,10,1.789330137608992
63,70,1.46601099218976
70,77,1.2079838009835118
34,38,1.0911194677466012
